        f (GHz),               Φ_pow[1] (W),               Φ_pow[2] (W),               Φ_pow[3] (W)
 2.43619000e+00,        +1.191941297567e-03,        -4.297621634939e-06,        +9.369763387080e-05
 2.43619500e+00,        +1.195019918335e-03,        -4.300479783431e-06,        +9.369973986401e-05
 2.43620000e+00,        +1.198111183963e-03,        -4.303347509967e-06,        +9.370181261175e-05
 2.43620500e+00,        +1.201215163693e-03,        -4.306224871304e-06,        +9.370385181514e-05
 2.43621000e+00,        +1.204331927239e-03,        -4.309111906744e-06,        +9.370585717277e-05
 2.43621500e+00,        +1.207461544794e-03,        -4.312008665251e-06,        +9.370782838068e-05
 2.43622000e+00,        +1.210604087033e-03,        -4.314915200808e-06,        +9.370976513232e-05
 2.43622500e+00,        +1.213759625117e-03,        -4.317831553524e-06,        +9.371166711855e-05
 2.43623000e+00,        +1.216928230697e-03,        -4.320757775186e-06,        +9.371353402761e-05
 2.43623500e+00,        +1.220109975917e-03,        -4.323693912818e-06,        +9.371536554510e-05
 2.43624000e+00,        +1.223304933420e-03,        -4.326640015238e-06,        +9.371716135391e-05
 2.43624500e+00,        +1.226513176350e-03,        -4.329596133126e-06,        +9.371892113428e-05
 2.43625000e+00,        +1.229734778359e-03,        -4.332562314959e-06,        +9.372064456370e-05
 2.43625500e+00,        +1.232969813609e-03,        -4.335538610447e-06,        +9.372233131691e-05
 2.43626000e+00,        +1.236218356777e-03,        -4.338525069749e-06,        +9.372398106590e-05
 2.43626500e+00,        +1.239480483057e-03,        -4.341521743485e-06,        +9.372559347982e-05
 2.43627000e+00,        +1.242756268168e-03,        -4.344528681541e-06,        +9.372716822502e-05
 2.43627500e+00,        +1.246045788359e-03,        -4.347545937326e-06,        +9.372870496501e-05
 2.43628000e+00,        +1.249349120408e-03,        -4.350573560312e-06,        +9.373020336039e-05
 2.43628500e+00,        +1.252666341630e-03,        -4.353611600671e-06,        +9.373166306887e-05
 2.43629000e+00,        +1.255997529883e-03,        -4.356660112692e-06,        +9.373308374521e-05
 2.43629500e+00,        +1.259342763568e-03,        -4.359719151609e-06,        +9.373446504125e-05
 2.43630000e+00,        +1.262702121640e-03,        -4.362788764573e-06,        +9.373580660577e-05
 2.43630500e+00,        +1.266075683606e-03,        -4.365869006762e-06,        +9.373710808461e-05
 2.43631000e+00,        +1.269463529534e-03,        -4.368959930362e-06,        +9.373836912050e-05
 2.43631500e+00,        +1.272865740055e-03,        -4.372061593622e-06,        +9.373958935313e-05
 2.43632000e+00,        +1.276282396371e-03,        -4.375174045866e-06,        +9.374076841907e-05
 2.43632500e+00,        +1.279713580255e-03,        -4.378297345906e-06,        +9.374190595176e-05
 2.43633000e+00,        +1.283159374064e-03,        -4.381431544623e-06,        +9.374300158148e-05
 2.43633500e+00,        +1.286619860733e-03,        -4.384576698102e-06,        +9.374405493531e-05
 2.43634000e+00,        +1.290095123791e-03,        -4.387732863311e-06,        +9.374506563710e-05
 2.43634500e+00,        +1.293585247355e-03,        -4.390900096602e-06,        +9.374603330745e-05
 2.43635000e+00,        +1.297090316146e-03,        -4.394078449575e-06,        +9.374695756368e-05
 2.43635500e+00,        +1.300610415486e-03,        -4.397267985546e-06,        +9.374783801979e-05
 2.43636000e+00,        +1.304145631307e-03,        -4.400468758219e-06,        +9.374867428641e-05
 2.43636500e+00,        +1.307696050155e-03,        -4.403680823264e-06,        +9.374946597081e-05
 2.43637000e+00,        +1.311261759197e-03,        -4.406904240986e-06,        +9.375021267685e-05
 2.43637500e+00,        +1.314842846222e-03,        -4.410139070596e-06,        +9.375091400492e-05
 2.43638000e+00,        +1.318439399652e-03,        -4.413385366710e-06,        +9.375156955194e-05
 2.43638500e+00,        +1.322051508544e-03,        -4.416643193524e-06,        +9.375217891132e-05
 2.43639000e+00,        +1.325679262596e-03,        -4.419912604972e-06,        +9.375274167291e-05
 2.43639500e+00,        +1.329322752151e-03,        -4.423193664833e-06,        +9.375325742300e-05
 2.43640000e+00,        +1.332982068209e-03,        -4.426486431252e-06,        +9.375372574424e-05
 2.43640500e+00,        +1.336657302422e-03,        -4.429790965942e-06,        +9.375414621563e-05
 2.43641000e+00,        +1.340348547112e-03,        -4.433107329063e-06,        +9.375451841251e-05
 2.43641500e+00,        +1.344055895264e-03,        -4.436435581989e-06,        +9.375484190645e-05
 2.43642000e+00,        +1.347779440544e-03,        -4.439775787629e-06,        +9.375511626531e-05
 2.43642500e+00,        +1.351519277295e-03,        -4.443128007609e-06,        +9.375534105311e-05
 2.43643000e+00,        +1.355275500551e-03,        -4.446492303775e-06,        +9.375551583008e-05
 2.43643500e+00,        +1.359048206036e-03,        -4.449868739164e-06,        +9.375564015253e-05
 2.43644000e+00,        +1.362837490174e-03,        -4.453257379036e-06,        +9.375571357292e-05
 2.43644500e+00,        +1.366643450096e-03,        -4.456658285194e-06,        +9.375573563971e-05
 2.43645000e+00,        +1.370466183642e-03,        -4.460071520501e-06,        +9.375570589741e-05
 2.43645500e+00,        +1.374305789372e-03,        -4.463497155779e-06,        +9.375562388649e-05
 2.43646000e+00,        +1.378162366569e-03,        -4.466935251750e-06,        +9.375548914335e-05
 2.43646500e+00,        +1.382036015246e-03,        -4.470385875948e-06,        +9.375530120032e-05
 2.43647000e+00,        +1.385926836156e-03,        -4.473849089951e-06,        +9.375505958554e-05
 2.43647500e+00,        +1.389834930791e-03,        -4.477324964293e-06,        +9.375476382300e-05
 2.43648000e+00,        +1.393760401397e-03,        -4.480813569835e-06,        +9.375441343246e-05
 2.43648500e+00,        +1.397703350974e-03,        -4.484314967525e-06,        +9.375400792939e-05
 2.43649000e+00,        +1.401663883287e-03,        -4.487829227536e-06,        +9.375354682498e-05
