        f (GHz),               Φ_pow[1] (W),               Φ_pow[2] (W),               Φ_pow[3] (W)
 2.43601000e+00,        +5.335961882087e-04,        +1.326738007514e-03,        -1.005006873006e-04
 2.43601500e+00,        +5.348907420497e-04,        +1.326847428331e-03,        -1.005128653666e-04
 2.43602000e+00,        +5.361922186785e-04,        +1.326957221870e-03,        -1.005250881600e-04
 2.43602500e+00,        +5.375006679766e-04,        +1.327067389731e-03,        -1.005373559561e-04
 2.43603000e+00,        +5.388161402765e-04,        +1.327177934040e-03,        -1.005496690287e-04
 2.43603500e+00,        +5.401386863666e-04,        +1.327288857783e-03,        -1.005620276446e-04
 2.43604000e+00,        +5.414683574971e-04,        +1.327400161345e-03,        -1.005744320772e-04
 2.43604500e+00,        +5.428052053840e-04,        +1.327511847909e-03,        -1.005868826023e-04
 2.43605000e+00,        +5.441492822148e-04,        +1.327623919194e-03,        -1.005993794957e-04
 2.43605500e+00,        +5.455006406535e-04,        +1.327736377333e-03,        -1.006119230463e-04
 2.43606000e+00,        +5.468593338460e-04,        +1.327849224151e-03,        -1.006245135220e-04
 2.43606500e+00,        +5.482254154253e-04,        +1.327962462855e-03,        -1.006371512237e-04
 2.43607000e+00,        +5.495989395164e-04,        +1.328076094384e-03,        -1.006498364278e-04
 2.43607500e+00,        +5.509799607427e-04,        +1.328190121278e-03,        -1.006625694195e-04
 2.43608000e+00,        +5.523685342306e-04,        +1.328304545514e-03,        -1.006753505043e-04
 2.43608500e+00,        +5.537647156156e-04,        +1.328419369767e-03,        -1.006881799673e-04
 2.43609000e+00,        +5.551685610482e-04,        +1.328534595997e-03,        -1.007010581064e-04
 2.43609500e+00,        +5.565801271986e-04,        +1.328650226279e-03,        -1.007139852243e-04
 2.43610000e+00,        +5.579994712636e-04,        +1.328766263114e-03,        -1.007269616117e-04
 2.43610500e+00,        +5.594266509720e-04,        +1.328882708678e-03,        -1.007399875844e-04
