        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 2.41584000e+00,        +4.622022493203e-09,        +4.558178092892e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.259166687735e-11,        +7.051386471027e-03,        +4.498324928627e-11,        +9.868690597328e-03
 2.41586000e+00,        +4.577304636205e-09,        +4.513478344274e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.229163411420e-11,        +7.054726892936e-03,        +4.454100288119e-11,        +9.868442802586e-03
 2.41588000e+00,        +4.533260278027e-09,        +4.469452007559e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.199598913036e-11,        +7.058052520270e-03,        +4.410549066271e-11,        +9.868209925539e-03
 2.41590000e+00,        +4.489876014129e-09,        +4.426085678312e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.170464598611e-11,        +7.061363362004e-03,        +4.367657778407e-11,        +9.867991936552e-03
 2.41592000e+00,        +4.447138770212e-09,        +4.383366282363e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.141752083752e-11,        +7.064659427306e-03,        +4.325413273325e-11,        +9.867788805898e-03
 2.41594000e+00,        +4.405035792536e-09,        +4.341281066121e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.113453187548e-11,        +7.067940725529e-03,        +4.283802723502e-11,        +9.867600503762e-03
 2.41596000e+00,        +4.363554638595e-09,        +4.299817587250e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.085559926696e-11,        +7.071207266215e-03,        +4.242813615653e-11,        +9.867427000240e-03
 2.41598000e+00,        +4.322683168084e-09,        +4.258963705634e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.058064509804e-11,        +7.074459059093e-03,        +4.202433741582e-11,        +9.867268265337e-03
 2.41600000e+00,        +4.282409534176e-09,        +4.218707574653e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.030959331891e-11,        +7.077696114075e-03,        +4.162651189357e-11,        +9.867124268975e-03
 2.41602000e+00,        +4.242722175094e-09,        +4.179037632753e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.004236969077e-11,        +7.080918441260e-03,        +4.123454334772e-11,        +9.866994980986e-03
 2.41604000e+00,        +4.203609805955e-09,        +4.139942595289e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.977890173431e-11,        +7.084126050931e-03,        +4.084831833101e-11,        +9.866880371118e-03
 2.41606000e+00,        +4.165061410889e-09,        +4.101411446649e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.951911868010e-11,        +7.087318953552e-03,        +4.046772611118e-11,        +9.866780409032e-03
 2.41608000e+00,        +4.127066235414e-09,        +4.063433432618e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.926295142039e-11,        +7.090497159770e-03,        +4.009265859375e-11,        +9.866695064307e-03
 2.41610000e+00,        +4.089613779063e-09,        +4.025998053012e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.901033246262e-11,        +7.093660680414e-03,        +3.972301024752e-11,        +9.866624306437e-03
 2.41612000e+00,        +4.052693788256e-09,        +3.989095054547e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.876119588445e-11,        +7.096809526492e-03,        +3.935867803235e-11,        +9.866568104836e-03
 2.41614000e+00,        +4.016296249384e-09,        +3.952714423920e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.851547729006e-11,        +7.099943709192e-03,        +3.899956132923e-11,        +9.866526428833e-03
 2.41616000e+00,        +3.980411382146e-09,        +3.916846381150e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.827311376812e-11,        +7.103063239879e-03,        +3.864556187288e-11,        +9.866499247677e-03
 2.41618000e+00,        +3.945029633078e-09,        +3.881481373101e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.803404385087e-11,        +7.106168130097e-03,        +3.829658368624e-11,        +9.866486530540e-03
 2.41620000e+00,        +3.910141669293e-09,        +3.846610067226e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.779820747464e-11,        +7.109258391567e-03,        +3.795253301719e-11,        +9.866488246509e-03
 2.41622000e+00,        +3.875738372431e-09,        +3.812223345514e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.756554594158e-11,        +7.112334036183e-03,        +3.761331827733e-11,        +9.866504364598e-03
 2.41624000e+00,        +3.841810832787e-09,        +3.778312298616e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.733600188260e-11,        +7.115395076016e-03,        +3.727884998261e-11,        +9.866534853739e-03
 2.41626000e+00,        +3.808350343638e-09,        +3.744868220177e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.710951922147e-11,        +7.118441523311e-03,        +3.694904069593e-11,        +9.866579682790e-03
 2.41628000e+00,        +3.775348395735e-09,        +3.711882601321e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.688604314003e-11,        +7.121473390484e-03,        +3.662380497144e-11,        +9.866638820531e-03
 2.41630000e+00,        +3.742796671981e-09,        +3.679347125330e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.666552004455e-11,        +7.124490690124e-03,        +3.630305930076e-11,        +9.866712235667e-03
