        f (GHz),               Φ_pow[1] (W),               Φ_pow[2] (W),               Φ_pow[3] (W)
 2.43629500e+00,        +1.185928772533e-03,        +1.938774897192e-05,        +1.076551449728e-04
 2.43630000e+00,        +1.188555674620e-03,        +1.958495649366e-05,        +1.076032189238e-04
 2.43630500e+00,        +1.191192065097e-03,        +1.978271943557e-05,        +1.075511341524e-04
 2.43631000e+00,        +1.193837989298e-03,        +1.998104009807e-05,        +1.074988899514e-04
 2.43631500e+00,        +1.196493492826e-03,        +2.017992079662e-05,        +1.074464856099e-04
 2.43632000e+00,        +1.199158621558e-03,        +2.037936385106e-05,        +1.073939204124e-04
 2.43632500e+00,        +1.201833421640e-03,        +2.057937159358e-05,        +1.073411936400e-04
 2.43633000e+00,        +1.204517939496e-03,        +2.077994637938e-05,        +1.072883045690e-04
 2.43633500e+00,        +1.207212221825e-03,        +2.098109057041e-05,        +1.072352524723e-04
 2.43634000e+00,        +1.209916315606e-03,        +2.118280653114e-05,        +1.071820366181e-04
 2.43634500e+00,        +1.212630268098e-03,        +2.138509665653e-05,        +1.071286562706e-04
 2.43635000e+00,        +1.215354126844e-03,        +2.158796335129e-05,        +1.070751106900e-04
 2.43635500e+00,        +1.218087939671e-03,        +2.179140901745e-05,        +1.070213991319e-04
 2.43636000e+00,        +1.220831754694e-03,        +2.199543609010e-05,        +1.069675208480e-04
 2.43636500e+00,        +1.223585620315e-03,        +2.220004699752e-05,        +1.069134750853e-04
 2.43637000e+00,        +1.226349585229e-03,        +2.240524420339e-05,        +1.068592610869e-04
 2.43637500e+00,        +1.229123698424e-03,        +2.261103015946e-05,        +1.068048780912e-04
 2.43638000e+00,        +1.231908009182e-03,        +2.281740736194e-05,        +1.067503253325e-04
 2.43638500e+00,        +1.234702567084e-03,        +2.302437829420e-05,        +1.066956020405e-04
 2.43639000e+00,        +1.237507422009e-03,        +2.323194546362e-05,        +1.066407074406e-04
 2.43639500e+00,        +1.240322624138e-03,        +2.344011138832e-05,        +1.065856407534e-04
 2.43640000e+00,        +1.243148223957e-03,        +2.364887860478e-05,        +1.065304011955e-04
 2.43640500e+00,        +1.245984272258e-03,        +2.385824965770e-05,        +1.064749879786e-04
 2.43641000e+00,        +1.248830820139e-03,        +2.406822711497e-05,        +1.064194003098e-04
 2.43641500e+00,        +1.251687919011e-03,        +2.427881354790e-05,        +1.063636373919e-04
 2.43642000e+00,        +1.254555620597e-03,        +2.449001154089e-05,        +1.063076984227e-04
 2.43642500e+00,        +1.257433976934e-03,        +2.470182371619e-05,        +1.062515825957e-04
 2.43643000e+00,        +1.260323040379e-03,        +2.491425266937e-05,        +1.061952890994e-04
 2.43643500e+00,        +1.263222863605e-03,        +2.512730104713e-05,        +1.061388171178e-04
 2.43644000e+00,        +1.266133499610e-03,        +2.534097149845e-05,        +1.060821658299e-04
 2.43644500e+00,        +1.269055001715e-03,        +2.555526667947e-05,        +1.060253344102e-04
 2.43645000e+00,        +1.271987423568e-03,        +2.577018926265e-05,        +1.059683220279e-04
 2.43645500e+00,        +1.274930819145e-03,        +2.598574195478e-05,        +1.059111278479e-04
 2.43646000e+00,        +1.277885242755e-03,        +2.620192744869e-05,        +1.058537510297e-04
 2.43646500e+00,        +1.280850749040e-03,        +2.641874847644e-05,        +1.057961907283e-04
 2.43647000e+00,        +1.283827392979e-03,        +2.663620776463e-05,        +1.057384460934e-04
 2.43647500e+00,        +1.286815229890e-03,        +2.685430807438e-05,        +1.056805162697e-04
 2.43648000e+00,        +1.289814315431e-03,        +2.707305216886e-05,        +1.056224003972e-04
 2.43648500e+00,        +1.292824705604e-03,        +2.729244283538e-05,        +1.055640976104e-04
 2.43649000e+00,        +1.295846456759e-03,        +2.751248286710e-05,        +1.055056070389e-04
